date,match,pr,result,score
13.10.2019 19:00,MACARİSTAN-AZERBAYCAN,10.10.2019 - 13.10.2019,1,1 - 0
13.10.2019 21:45,ESTONYA-ALMANYA,10.10.2019 - 13.10.2019,2,0 - 3
19.10.2019 20:00,MKE ANKARAGÜCÜ-BEŞİKTAŞ A.Ş.,18.10.2019 - 21.10.2019,0,0 - 0
20.10.2019 19:00,DENİZLİSPOR-FENERBAHÇE A.Ş.,18.10.2019 - 21.10.2019,2,1 - 2
19.10.2019 17:30,TRABZONSPOR A.Ş.-GAZİANTEP A.Ş.,18.10.2019 - 21.10.2019,1,4 - 1
19.10.2019 15:00,ANTALYASPOR A.Ş.-GENÇLERBİRLİĞİ,18.10.2019 - 21.10.2019,2,0 - 6
19.10.2019 17:30,M.BAŞAKŞEHİR-GÖZTEPE A.Ş.,18.10.2019 - 21.10.2019,1,2 - 1
20.10.2019 14:00,KAYSERİSPOR-KASIMPAŞA A.Ş.,18.10.2019 - 21.10.2019,0,1 - 1
20.10.2019 16:30,A.ALANYASPOR-Ç.RİZESPOR A.Ş.,18.10.2019 - 21.10.2019,1,5 - 2
21.10.2019 20:00,KONYASPOR-YENİ MALATYASPOR,18.10.2019 - 21.10.2019,2,0 - 2
20.10.2019 18:30,MANCHESTER UNİTED-LİVERPOOL,18.10.2019 - 21.10.2019,0,1 - 1
19.10.2019 17:00,CHELSEA-NEWCASTLE UNİTED,18.10.2019 - 21.10.2019,1,1 - 0
19.10.2019 17:00,ATLETİCO MADRİD-VALENCİA,18.10.2019 - 21.10.2019,0,1 - 1
19.10.2019 16:30,AUGSBURG-B.MÜNİH,18.10.2019 - 21.10.2019,0,2 - 2
19.10.2019 21:45,JUVENTUS-BOLOGNA,18.10.2019 - 21.10.2019,1,2 - 1
18.10.2019 21:45,NİCE-PARİS SAİNT GERMAİN,18.10.2019 - 21.10.2019,2,1 - 4
04.10.2019 20:30,FENERBAHÇE A.Ş.-ANTALYASPOR A.Ş.,04.10.2019 - 06.10.2019,2,0 - 1
05.10.2019 15:00,KASIMPAŞA A.Ş.-KONYASPOR,04.10.2019 - 06.10.2019,2,1 - 4
05.10.2019 17:30,GÖZTEPE A.Ş.-KAYSERİSPOR,04.10.2019 - 06.10.2019,1,4 - 0
05.10.2019 20:00,GENÇLERBİRLİĞİ-GALATASARAY A.Ş.,04.10.2019 - 06.10.2019,0,0 - 0
06.10.2019 14:00,SİVASSPOR-MKE ANKARAGÜCÜ,04.10.2019 - 06.10.2019,1,3 - 1
06.10.2019 16:30,BEŞİKTAŞ A.Ş.-ALANYASPOR,04.10.2019 - 06.10.2019,1,2 - 0
06.10.2019 19:00,GAZİŞEHİR GAZİANTEP-M.BAŞAKŞEHİR,04.10.2019 - 06.10.2019,2,1 - 2
06.10.2019 19:00,Ç.RİZESPOR A.Ş.-TRABZONSPOR A.Ş.,04.10.2019 - 06.10.2019,2,1 - 2
05.10.2019 17:00,LİVERPOOL-LEİCESTER CİTY,04.10.2019 - 06.10.2019,1,2 - 1
06.10.2019 18:30,NEWCASTLE UNİTED-MANCHESTER UNİTED,04.10.2019 - 06.10.2019,1,1 - 0
06.10.2019 21:45,İNTER-JUVENTUS,04.10.2019 - 06.10.2019,2,1 - 2
05.10.2019 17:00,REAL MADRİD-GRANADA,04.10.2019 - 06.10.2019,1,4 - 2
06.10.2019 22:00,BARCELONA-SEVİLLA,04.10.2019 - 06.10.2019,1,4 - 0
05.10.2019 16:30,B.MÜNİH-HOFFENHEİM,04.10.2019 - 06.10.2019,2,1 - 2
21.09.2019 15:00,KASIMPAŞA A.Ş.-ANTALYASPOR A.Ş.,20.09.2019 - 23.09.2019,1,3 - 0
21.09.2019 17:30,KAYSERİSPOR-DENİZLİSPOR,20.09.2019 - 23.09.2019,0,1 - 1
21.09.2019 20:00,FENERBAHÇE A.Ş.-MKE ANKARAGÜCÜ,20.09.2019 - 23.09.2019,1,2 - 1
22.09.2019 14:00,Ç.RİZESPOR A.Ş.-GAZİŞEHİR GAZİANTEP,20.09.2019 - 23.09.2019,2,1 - 2
22.09.2019 16:30,GENÇLERBİRLİĞİ-ALANYASPOR,20.09.2019 - 23.09.2019,0,1 - 1
22.09.2019 19:00,Y.MALATYASPOR-GALATASARAY A.Ş.,20.09.2019 - 23.09.2019,0,1 - 1
23.09.2019 20:00,BEŞİKTAŞ A.Ş.-M.BAŞAKŞEHİR,20.09.2019 - 23.09.2019,0,1 - 1
23.09.2019 20:00,SİVASSPOR-TRABZONSPOR A.Ş.,20.09.2019 - 23.09.2019,1,2 - 1
21.09.2019 14:30,LEİCESTER CİTY-TOTTENHAM,20.09.2019 - 23.09.2019,1,2 - 1
21.09.2019 21:45,AC MİLAN-İNTER,20.09.2019 - 23.09.2019,2,0 - 2
22.09.2019 18:30,CHELSEA-LİVERPOOL,20.09.2019 - 23.09.2019,2,1 - 2
22.09.2019 19:00,E.FRANKFURT-B.DORTMUND,20.09.2019 - 23.09.2019,0,2 - 2
22.09.2019 22:00,O.LYON-PARİS ST GERMAİN,20.09.2019 - 23.09.2019,2,0 - 1
22.09.2019 22:00,SEVİLLA-REAL MADRİD,20.09.2019 - 23.09.2019,2,0 - 1
23.08.2019 20:30,Beşiktaş - Göztepe,23.08.2019 - 27.08.2019,1,3 - 0
24.08.2019 21:45,İst.Başakşehir - Fenerbahçe,23.08.2019 - 27.08.2019,2,1 - 2
25.08.2019 19:15,Trabzonspor - Y.Malatyaspor,23.08.2019 - 27.08.2019,1,2 - 1
24.08.2019 19:15,Ankaragücü - Kayserispor,23.08.2019 - 27.08.2019,0,1 - 1
24.08.2019 21:45,Alanyaspor - Kasımpaşa,23.08.2019 - 27.08.2019,1,4 - 1
25.08.2019 21:45,Antalyaspor - Denizlispor,23.08.2019 - 27.08.2019,2,0 - 2
25.08.2019 19:15,Rizespor - Sivasspor,23.08.2019 - 27.08.2019,1,2 - 1
26.08.2019 20:00,G.Gaziantep - Gençlerbirliği,23.08.2019 - 27.08.2019,1,4 - 1
23.08.2019 22:00,Aston Villa - Everton,23.08.2019 - 27.08.2019,1,2 - 0
24.08.2019 19:30,Liverpool - Arsenal,23.08.2019 - 27.08.2019,1,3 - 1
23.08.2019 21:30,Köln - B.Dortmund,23.08.2019 - 27.08.2019,2,1 - 3
24.08.2019 19:30,Schalke 04 - B.Münih,23.08.2019 - 27.08.2019,2,0 - 3
25.08.2019 21:45,Sampdoria - Lazio,23.08.2019 - 27.08.2019,2,0 - 3
